;;"froment";"seigle";"pesette";"avoine";"feves";"pois";"nayann "
"p1";"1689-10-04";12,6;10;8;4;;;
"p1";"1689-10-11";12;10;8;4;;;
"p1";"1689-10-18";12;10;8;3,9;10;;
"p1";"1689-10-25";12;10;;;;;
"p1";"1689-11-01";12;10;;;;;
"p1";"1689-11-08";12;10;;4;;;
"p1";"1689-11-15";13;10;;;10,4;;
"p1";"1689-11-22";13;10;;3,8;11,6;;
"p1";"1689-11-29";13;10;;3,4;11;;
"p1";"1689-12-06";13;11,8;;3,4;11;;
"p1";"1689-12-13";13;11,8;;3,4;11;;
"p1";"1689-12-10";13;10,4;;3,4;11;;
"p2";"1690-01-10";13;10;8;3,4;10;;
"p2";"1690-01-13";13;10;8;3,4;10;;
"p2";"1690-01-24";12,6;10;8;4;10,4;;
"p2";"1690-01-31";12,6;10;8;4;10,4;;
"p2";"1690-02-07";12,6;10;8;4;10,4;;
"p2";"1690-02-14";12,6;10;8,4;3,6;10,4;;
"p2";"1690-02-21";12,4;10;8,4;3,6;10,4;;
"p2";"1690-02-28";12,4;10;8,6;3,6;10,6;12;
"p2";"1690-03-07";12,4;10;8,6;3,6;10,6;12;
"p2";"1690-03-14";12,4;10;8,6;3,6;10,6;12;
"p2";"1690-03-21";12;10;8,5;3,4;10,8;11,6;
"p2";"1690-03-28";12;10;9;4;10,8;11,6;
"p3";"1690-04-04";12;10;9;3,8;10,8;11;
"p3";"1690-04-11";12,4;10;9;4;10,8;11;
"p3";"1690-04-18";12;10;9,4;4;10,8;11;
"p3";"1690-04-25";12,4;10;9,4;4;11,4;;
"p3";"1690-05-02";12,6;10;9,6;4;11,4;;
"p3";"1690-05-09";12,6;10;9,6;4;11,4;;
"p3";"1690-05-16";12,6;10;;4;;;
"p3";"1690-05-23";12,6;10;;4;;;
"p3";"1690-05-30";12,6;10;;4;;;
"p3";"1690-06-06";12,6;10;;4;;;
"p3";"1690-06-13";12,6;10,4;;4;;;
"p3";"1690-06-20";12,8;10,6;;4;;;
"p3";"1690-06-27";12,8;10,6;;4;;;
"p3";"1690-07-04";12,8;10,6;;4;;;
"p4";"1690-07-11";13;10,8;;4;12,6;;
"p4";"1690-07-18";13;10,8;;4;12,6;;
"p4";"1690-07-25";13,6;10,8;;4;;;
"p4";"1690-08-01";14;11;;4;13;;
"p4";"1690-08-08";14;11;9;4;;;
"p4";"1690-08-15";14;11;9;4;;;
"p4";"1690-08-22";"LACUNE";;;;;;
"p4";"1690-08-29";"LACUNE";;;;;;
"p4";"1690-09-05";"LACUNE";;;;;;
"p4";"1690-09-12";13,6;11;;;;;
"p4";"1690-09-19";13,6;11;;;;;
"p4";"1690-09-26";14;11,6;;4,6;;;
"p4";"1690-10-03";13,6;11;;4,6;;;
"p4";"1690-10-10";13,6;11;;5;12;;
"p4";"1690-10-17";13,6;11,6;;4;;;
"p4";"1690-10-24";14;12;;4;;;
"p4";"1690-10-31";14;12;;4;;;
"p4";"1690-11-07";16;13;;;;;
"p5";"1690-11-14";17;14;;;;;
"p5";"1690-11-21";18;12;;4;14,8;;
"p5";"1690-11-28";17,6;14;;4;14;;
"p5";"1690-12-05";17,6;14;;;14;;
"p5";"1690-12-12";18,6;14,6;;;;;
"p5";"1690-12-19";18;14;14;4,8;16;;
"p5";"1690-12-26";"LACUNE";;;;;;
"p5";"1691-01-02";"LACUNE";;;;;;
"p5";"1691-01-09";17,6;14;12;;15,6;;
"p5";"1691-01-16";17,6;14;12;;15,6;;
"p5";"1691-01-23";17,6;14;12;;15,6;;
"p5";"1691-01-30";17,6;14;12;;15,6;;
"p5";"1691-02-06";17,6;14;12;5;15,6;;
"p5";"1691-02-13";17,6;14,4;12;5,4;16;;
"p6";"1691-02-20";18;14,4;;5,4;16,4;;
"p6";"1691-02-27";18;14,4;;5,4;16,4;;
"p6";"1691-03-06";18;14;14;5,4;16,6;17,6;
"p6";"1691-03-13";18;14;14;5,4;16;17,6;
"p6";"1691-03-20";18;14;14;;16,4;17;
"p6";"1691-03-27";18;14;17,6;5,4;16;17,6;
"p6";"1691-04-03";18;14;14;5;16;17;
"p6";"1691-04-10";18;14;14;5;16;17;
"p6";"1691-04-17";18;14;14;5;16;17;
"p6";"1691-04-24";18;14;14,4;5;16;;
"p6";"1691-05-01";15;15;14,6;5,6;;;
"p6";"1691-05-08";"LACUNE";;;;;;
"p6";"1691-05-15";"LACUNE";;;;;;
"p6";"1691-05-22";"LACUNE";;;;;;
"p6";"1691-05-29";"LACUNE";;;;;;
"p6";"1691-06-05";"LACUNE";;;;;;
"p6";"1691-06-12";"LACUNE";;;;;;
"p6";"1691-06-19";"LACUNE";;;;;;
"p6";"1691-06-26";"LACUNE";;;;;;
"p6";"1691-07-03";"LACUNE";;;;;;
"p6";"1691-07-10";"LACUNE";;;;;;
"p6";"1691-07-17";"LACUNE";;;;;;
"p6";"1691-07-24";"LACUNE";;;;;;
"p6";"1691-07-31";"LACUNE";;;;;;
"p6";"1691-08-07";"LACUNE";;;;;;
"p6";"1691-08-14";"LACUNE";;;;;;
"p6";"1691-08-21";"LACUNE";;;;;;
"p6";"1691-08-28";"LACUNE";;;;;;
"p6";"1691-09-04";"LACUNE";;;;;;
"p6";"1691-09-11";"LACUNE";;;;;;
"p6";"1691-09-18";"LACUNE";;;;;;
"p6";"1691-09-25";"LACUNE";;;;;;
"p6";"1691-10-02";"LACUNE";;;;;;
"p6";"1691-10-09";"LACUNE";;;;;;
"p6";"1691-10-16";"LACUNE";;;;;;
"p6";"1691-10-23";"LACUNE";;;;;;
"p6";"1691-10-30";"LACUNE";;;;;;
"p6";"1691-11-06";"LACUNE";;;;;;
"p6";"1691-11-13";"LACUNE";;;;;;
"p7";"1691-11-20";23;18,6;15;6;19;;
"p7";"1691-11-27";23;18,6;15;6;19;;
"p7";"1691-12-04";23;18,6;15;6;19;;
"p7";"1691-12-11";23;18,6;15;6;19;;
"p7";"1691-12-18";22,6;18;15;6;18;20;
"p7";"1691-12-25";"LACUNE";;;;;;
"p7";"1692-01-01";"LACUNE";;;;;;
"p7";"1692-01-08";20;16;;5,4;17;;
"p7";"1692-01-15";21;16;16;5,6;17;;
"p7";"1692-01-22";20;16;;5;17;20;
"p7";"1692-01-29";20;17;;5;17;20;
"p8";"1692-02-05";20;17;;5;17;20;
"p8";"1692-02-12";20;16,6;;;16,6;;
"p8";"1692-02-19";20,6;16;14;;16;20;
"p8";"1692-02-26";20,6;16;14;;18;20;
"p8";"1692-03-04";20,6;16;14;;18;20;
"p8";"1692-03-11";20,6;;14;5,6;18;19;
"p8";"1692-03-18";21;;14;6;18;19;
"p8";"1692-03-25";21;;14;6;18;20;
"p8";"1692-04-01";21;;14;6;18;20;
"p8";"1692-04-08";21;18;14;6;18;19;
"p8";"1692-04-15";21;18;14;6;18;;
"p8";"1692-04-22";21;18;14;6;18;;
"p8";"1692-04-29";21;18;14,6;6,4;18,6;;
"p8";"1692-05-06";21;18;14,6;6,6;18,6;18;
"p9";"1692-05-13";21;18;14,6;6,6;18,6;18;
;"1692-05-20";21;18;15,6;7;18;20;
;"1692-05-27";21;18;16;7;18;;
;"1692-06-03";21;18;16;7;;;
;"1692-06-10";21;19;16;7;18;;
;"1692-06-17";21;18;18;;18;;
;"1692-06-24";21;;;;;;
;"1692-07-01";21;;16;;18;;
;"1692-07-08";21;18;16;;18;;
;"1692-07-15";21;18;16;7;;;
;"1692-07-22";21;18;16;7;;;
;"1692-07-29";21;;;;;;
;"1692-08-05";21;18;16;;18;;
;"1692-08-12";21;18;16;;;;
;"1692-08-19";20;;;;;;
;"1692-08-26";20;;;;;;
;"1692-09-02";18,6;18;;;;;
;"1692-09-09";19,6;18;;;;;
;"1692-09-16";20;18;;;;;
;"1692-09-23";20;18;;;;;
;"1692-09-30";20;17,6;;;;;
;"1692-10-07";20;17,6;;;;;
;"1692-10-14";20;17,6;;;;;
;"1692-10-21";21;18;;;;;
;"1692-10-28";21;18;;;;;
;"1692-11-04";21,6;19;;;20;;
;"1692-11-11";22;;;;20;;
;"1692-11-18";"LACUNE";;;;;;
;"1692-11-25";21,6;18;;7;20;;
;"1692-12-02";22;;;7;20;;
;"1692-12-09";22;18;;7;20;;
;"1692-12-16";22;18;;7;20;;
;"1692-12-23";21;17;;7;20;;
;"1692-12-30";"LACUNE";;;;;;
;"1693-01-06";"LACUNE";;;;;;
;"1693-01-13";21;17;;;20;;
;"1693-01-20";21;17;;7;20;;
;"1693-01-27";21;17,6;;7;20,6;;
9459;"1693-02-03";21;17,6;;7;20,6;;
9459;"1693-02-10";21;17,6;18;7;20;;
9459;"1693-02-17";21;17,6;18;7;20;20;
9459;"1693-02-24";21;18;18;7;20,6;20;
9459;"1693-03-03";21;18;18;7;20,6;20;
9459;"1693-03-10";21;;18;7;20,6;20;
9459;"1693-03-17";21;;18;7;20,6;20;
9459;"1693-03-22";21;;;7;20,6;20;
9459;"1693-03-29";21,6;;;7;20,6;21;
9459;"1693-04-07";21,6;;;7;20,6;21;
9459;"1693-04-14";22;;20,6;7,6;21;21;
9459;"1693-04-21";21,6;;19,6;7,6;20,6;21;
9459;"1693-04-28";22;;20;8;21;;
9459;"1693-05-05";24;20;21;8,6;;;
9459;"1693-05-12";24,6;;22;8,6;;;
9459;"1693-05-19";26;23;;;;;
9459;"1693-05-26";26;23;;;;;
9459;"1693-06-02";30;24;;;;;
9459;"1693-06-09";32;29;;;;;
9459;"1693-06-16";32;29;;10;;;
9459;"1693-06-23";32;29;;10;;;
9459;"1693-06-30";32;28;;10;;;
9459;"1693-07-07";31;28;;10;;;
9459;"1693-07-14";31;26;;10;;;
"9460g";"1693-07-21";31;;;;;;
"9460g";"1693-07-28";32;;;;;;
"9460g";"1693-08-04";32;;;;;;
"9460g";"1693-08-11";32;;;;;;
"9460g";"1693-08-18";28;;;;;;
"9460g";"1693-08-25";30;;;;;;
"9460g";"1693-09-01";33;;;8;;;28
"9460g";"1693-09-08";"LACUNE";;;;;;
"9460g";"1693-09-15";"LACUNE";;;;;;
"9460g";"1693-09-22";"LACUNE";;;;;;
"9460g";"1693-09-29";"LACUNE";;;;;;
"9460g";"1693-10-06";"LACUNE";;;;;;
"9460g";"1693-10-13";"LACUNE";;;;;;
"9460g";"1693-10-20";"LACUNE";;;;;;
"9460g";"1693-10-27";"LACUNE";;;;;;
"9460g";"1693-11-03";"LACUNE";;;;;;
"9460g";"1693-11-10";"LACUNE";;;;;;
"9460g";"1693-11-17";"LACUNE";;;;;;
"9460g";"1693-11-24";"LACUNE";;;;;;
"9460g";"1693-12-01";"LACUNE";;;;;;
"9460g";"1693-12-08";"LACUNE";;;;;;
"9460g";"1693-12-15";"LACUNE";;;;;;
"9460g";"1693-12-22";"LACUNE";;;;;;
"9460g";"1693-12-29";"LACUNE";;;;;;
"9460g";"1694-01-05";"LACUNE";;;;;;
"9460g";"1694-01-12";32;;28;8;30;;
"9460g";"1694-01-19";32;;28;8;30;;
"9460g";"1694-01-26";34;;28;;32;;
"9460g";"1694-02-02";40;;28;10;33;;
"9460g";"1694-02-09";38;;28;10;34;;
"9460g";"1694-02-16";36;;32;13;36;;
"9460g";"1694-02-23";37;;32;12;33;36;
"9460d";"1694-03-02";36;;32;12;33;36;
"9460d";"1694-03-09";37;;32;13;34;36;
"9460d";"1694-03-16";37;;32;13;35;36;
"9460d";"1694-03-23";37;;32;13;36;36;
"9460d";"1694-03-30";37;;32;13;36;36;
"9460d";"1694-04-06";38;;32;14;37;36;
"9460d";"1694-04-13";39;;32;14;37;37;
"9460d";"1694-04-20";40;;32;14;38;;
"9460d";"1694-04-27";40;;32;14;38;;
"9460d";"1694-05-04";40;;36;14;39;;
"9461g";"1694-05-11";40;;36;15;39;40;
"9461g";"1694-05-18";40;;36;15;39;40;
"9461g";"1694-05-25";40;;36;16;;40;
"9461g";"1694-06-01";40;;36;;;40;
"9461g";"1694-06-08";40;36;36;;39;;
"9461g";"1694-06-15";39;;36;;39;;
"9461g";"1694-06-22";39;36;36;;39;;
"9461g";"1694-06-29";37;;33;;36;;
"9461g";"1694-07-06";33;;29;;33;;
"9461g";"1694-07-13";30;;26;;30;;
"9461g";"1694-07-20";28;24;26;;;;
"9461g";"1694-07-27";26;;;;;;
"3461d";"1694-08-03";26;20;;;;;
